iteration,loss
0,106988994560.0
1,42466959360.0
2,25229211648.0
3,16324343808.0
4,12499936256.0
5,10347227136.0
6,8998102016.0
7,8125820928.0
8,7382452224.0
9,6828933120.0
10,6237286912.0
11,5868620800.0
12,5541998592.0
13,5277126656.0
14,5088716800.0
15,4918988800.0
16,4711696384.0
17,4518889472.0
18,4331206656.0
19,4204354560.0
20,4089011712.0
21,3984052224.0
22,3914012672.0
23,3844493824.0
24,3786649088.0
25,3727741952.0
26,3668684800.0
27,3619551744.0
28,3565604352.0
29,3523601664.0
30,3476390656.0
31,3438068224.0
32,3365357312.0
33,3301245184.0
34,3251180800.0
35,3215755264.0
36,3171761664.0
37,3137180672.0
38,3107912704.0
39,3078339072.0
40,3048037888.0
41,3023973888.0
42,2998743296.0
43,2976047616.0
44,2956417024.0
45,2936444928.0
46,2910112000.0
47,2887022592.0
48,2852127744.0
49,2821960192.0
50,2802871808.0
51,2785172992.0
52,2741841920.0
53,2711230208.0
54,2695554304.0
55,2680129280.0
56,2667364096.0
57,2651318784.0
58,2635771904.0
59,2617661952.0
60,2607276544.0
61,2596430848.0
62,2585225728.0
63,2574857216.0
64,2561793792.0
65,2550490624.0
66,2536556288.0
67,2525296896.0
68,2512734720.0
69,2501553664.0
70,2491380992.0
71,2483190272.0
72,2475077120.0
73,2465683712.0
74,2458536960.0
75,2450959360.0
76,2444958208.0
77,2439199488.0
78,2432445440.0
79,2425943808.0
80,2412598784.0
81,2402545408.0
82,2396012800.0
83,2390242560.0
84,2384745728.0
85,2377170176.0
86,2371654656.0
87,2366567936.0
88,2359360768.0
89,2352723200.0
90,2343670784.0
91,2335543552.0
92,2327731712.0
93,2320070656.0
94,2314161408.0
95,2308116992.0
96,2297219072.0
97,2289254912.0
98,2283896576.0
99,2278970880.0
100,2274720512.0
101,2270762496.0
102,2266574336.0
103,2260944384.0
104,2256240384.0
105,2251788544.0
106,2246872576.0
107,2241857536.0
108,2237644288.0
109,2233569792.0
110,2229449984.0
111,2224934144.0
112,2220527104.0
113,2216004096.0
114,2211951104.0
115,2208371456.0
116,2204840960.0
117,2201299712.0
118,2198070784.0
119,2195033600.0
120,2191850496.0
121,2188940800.0
122,2185050624.0
123,2180495360.0
124,2177278976.0
125,2174245376.0
126,2171331584.0
127,2167844352.0
128,2164988160.0
129,2162221568.0
130,2159255040.0
131,2156082176.0
132,2152815616.0
133,2149888000.0
134,2146012800.0
135,2142487808.0
136,2139481728.0
137,2136410880.0
138,2133796352.0
139,2131138688.0
140,2127411712.0
141,2123552384.0
142,2119036544.0
143,2114994944.0
144,2111075200.0
145,2107433216.0
146,2104982272.0
147,2102367104.0
148,2100171648.0
149,2097818880.0
150,2095693312.0
151,2093473280.0
152,2091197696.0
153,2088674560.0
154,2086390272.0
155,2084005760.0
156,2081994752.0
157,2079467392.0
158,2076807936.0
159,2073992448.0
160,2071369216.0
161,2068545792.0
162,2065519104.0
163,2062727168.0
164,2060382720.0
165,2057419520.0
166,2054885632.0
167,2052327936.0
168,2050228480.0
169,2047936128.0
170,2045643136.0
171,2043345664.0
172,2041402496.0
173,2039330688.0
174,2037706240.0
175,2035401216.0
176,2033581312.0
177,2031459456.0
178,2029795328.0
179,2028108544.0
180,2026310912.0
181,2024449792.0
182,2022819456.0
183,2021041152.0
184,2019270656.0
185,2017491584.0
186,2015354368.0
187,2013199616.0
188,2010221952.0
189,2006898816.0
190,2004433280.0
191,2002269440.0
192,1999218560.0
193,1996234752.0
194,1994151552.0
195,1992128000.0
196,1990620160.0
197,1988959616.0
198,1987194496.0
199,1985460352.0
