iteration,loss
0,1036017784061952.0
1,386810760921088.0
2,218810330120192.0
3,145674435821568.0
4,103759900311552.0
5,76196201103360.0
6,60291081568256.0
7,50148205920256.0
8,40478917525504.0
9,35135233720320.0
10,30289493491712.0
11,27503181692928.0
12,24568060182528.0
13,22735665233920.0
14,21431037460480.0
15,20458227367936.0
16,19550554816512.0
17,18755757277184.0
18,18173854220288.0
19,17289815523328.0
20,16632185356288.0
21,16233681387520.0
22,15785405710336.0
23,15391705268224.0
24,15068190212096.0
25,14715253161984.0
26,14384204087296.0
27,14013233627136.0
28,13738751033344.0
29,13487232253952.0
30,13251189407744.0
31,12841831628800.0
32,12512927940608.0
33,12330482008064.0
34,12157235232768.0
35,11988560248832.0
36,11847880146944.0
37,11681584381952.0
38,11500286640128.0
39,11316418838528.0
40,11138388459520.0
41,11004196945920.0
42,10865611898880.0
43,10722807382016.0
44,10542457552896.0
45,10405322686464.0
46,10252362711040.0
47,10133749891072.0
48,10015533432832.0
49,9893718261760.0
50,9792500269056.0
51,9701109530624.0
52,9606412632064.0
53,9509151965184.0
54,9428034125824.0
55,9297051254784.0
56,9176225939456.0
57,9095703691264.0
58,9011967557632.0
59,8902276022272.0
60,8763444035584.0
61,8630524968960.0
62,8523420270592.0
63,8446904631296.0
64,8368643637248.0
65,8310258401280.0
66,8257678082048.0
67,8210130403328.0
68,8163988865024.0
69,8108851593216.0
70,8052548304896.0
71,8007693369344.0
72,7963408334848.0
73,7902109106176.0
74,7845910151168.0
75,7804060958720.0
76,7752143339520.0
77,7702386835456.0
78,7660315869184.0
79,7607261593600.0
80,7561452978176.0
81,7519190122496.0
82,7480950652928.0
83,7406104870912.0
84,7341159743488.0
85,7302950158336.0
86,7261191143424.0
87,7228115386368.0
88,7177295626240.0
89,7134437179392.0
90,7080202731520.0
91,7028757495808.0
92,6980119822336.0
93,6927372779520.0
94,6877942382592.0
95,6832663298048.0
96,6779826077696.0
97,6735385853952.0
98,6703956361216.0
99,6671480913920.0
100,6636621529088.0
101,6605996294144.0
102,6568117534720.0
103,6524648816640.0
104,6493990027264.0
105,6463311839232.0
106,6420189675520.0
107,6378279141376.0
108,6347658100736.0
109,6312658731008.0
110,6282503258112.0
111,6249673392128.0
112,6218920230912.0
113,6181550555136.0
114,6153654239232.0
115,6119556644864.0
116,6088257699840.0
117,6058256367616.0
118,6033076912128.0
119,6009777029120.0
120,5979468464128.0
121,5944207474688.0
122,5899647188992.0
123,5867489460224.0
124,5848631345152.0
125,5830736347136.0
126,5810655592448.0
127,5784932450304.0
128,5763197566976.0
129,5738708598784.0
130,5716843167744.0
131,5699657007104.0
132,5682880315392.0
133,5666245181440.0
134,5640506310656.0
135,5611464425472.0
136,5590127476736.0
137,5570177794048.0
138,5551430303744.0
139,5532530245632.0
140,5518065664000.0
141,5504442040320.0
142,5487358640128.0
143,5469489856512.0
144,5455385985024.0
145,5435504984064.0
146,5413850316800.0
147,5392363421696.0
148,5370978238464.0
149,5351943438336.0
150,5332213956608.0
151,5317272797184.0
152,5299809812480.0
153,5284367433728.0
154,5271440588800.0
155,5258101129216.0
156,5246079205376.0
157,5233012899840.0
158,5217926512640.0
159,5205637201920.0
160,5191183106048.0
161,5177374932992.0
162,5160807956480.0
163,5147676639232.0
164,5135800991744.0
165,5124124049408.0
166,5112383668224.0
167,5100329238528.0
168,5087123472384.0
169,5074427838464.0
170,5063426179072.0
171,5052221095936.0
172,5040839327744.0
173,5021977542656.0
174,5004045320192.0
175,4988312485888.0
176,4972503629824.0
177,4958368301056.0
178,4946947211264.0
179,4928078086144.0
180,4914469666816.0
181,4902522716160.0
182,4890943815680.0
183,4882464505856.0
184,4872668708864.0
185,4861675438080.0
186,4851838222336.0
187,4842898587648.0
188,4833371226112.0
189,4822809968640.0
190,4814480605184.0
191,4801671200768.0
192,4791363174400.0
193,4781856260096.0
194,4772337287168.0
195,4764327739392.0
196,4755113377792.0
197,4744628142080.0
198,4731755298816.0
199,4720727425024.0
200,4712204075008.0
201,4703511379968.0
202,4695549542400.0
203,4686994210816.0
204,4679670956032.0
205,4670630658048.0
206,4659398311936.0
207,4649650225152.0
208,4639103647744.0
209,4628347879424.0
210,4618584588288.0
211,4609691090944.0
212,4600171069440.0
213,4575029362688.0
214,4556130877440.0
215,4544341213184.0
216,4532898103296.0
217,4523242291200.0
218,4514611986432.0
219,4505867911168.0
220,4496615800832.0
221,4484087414784.0
222,4470408216576.0
223,4459703828480.0
224,4448170016768.0
225,4433684463616.0
226,4421063802880.0
227,4412900114432.0
228,4403697811456.0
229,4395343544320.0
230,4387100950528.0
231,4379900379136.0
232,4371914162176.0
233,4363967791104.0
234,4352864944128.0
235,4345733054464.0
236,4339219038208.0
237,4333426966528.0
238,4326747013120.0
239,4319134875648.0
240,4312188583936.0
241,4304739237888.0
242,4297629630464.0
243,4291683155968.0
244,4285572055040.0
245,4279410622464.0
246,4270533115904.0
247,4261983289344.0
248,4253719724032.0
249,4247769317376.0
250,4241662148608.0
251,4234997137408.0
252,4228326621184.0
253,4223483510784.0
254,4218275758080.0
255,4211932921856.0
256,4204212518912.0
257,4196972101632.0
258,4190098161664.0
259,4183549018112.0
260,4173898973184.0
261,4166013419520.0
262,4155084898304.0
263,4143766831104.0
264,4138368761856.0
265,4132975411200.0
266,4127939100672.0
267,4121424297984.0
268,4114051760128.0
269,4108748324864.0
270,4103757103104.0
271,4099116892160.0
272,4094530945024.0
273,4089754943488.0
274,4084711555072.0
275,4078974533632.0
276,4074160521216.0
277,4068604116992.0
278,4063302516736.0
279,4056350195712.0
280,4050134761472.0
281,4044386205696.0
282,4038716293120.0
283,4033161461760.0
284,4026799226880.0
285,4020967571456.0
286,4015798353920.0
287,4011401412608.0
288,4006788988928.0
289,4002223226880.0
290,3997426253824.0
291,3992283512832.0
292,3987283640320.0
293,3981869318144.0
294,3976717139968.0
295,3971419471872.0
296,3966311596032.0
297,3960672354304.0
298,3955430785024.0
299,3950625947648.0
300,3945161818112.0
301,3939884859392.0
302,3935209521152.0
303,3930393411584.0
304,3924259241984.0
305,3919715762176.0
306,3914922459136.0
307,3910815711232.0
308,3906244968448.0
