iteration,loss
0,1.0364209204297728e+16
1,3809051875999744.0
2,2090777329008640.0
3,1341462839033856.0
4,963707043577856.0
5,736954782056448.0
6,604153252413440.0
7,473398744449024.0
8,385012008484864.0
9,342736880271360.0
10,312507893809152.0
11,285354674356224.0
12,265538802548736.0
13,241454354006016.0
14,223626179641344.0
15,210975722569728.0
16,200723165872128.0
17,187747851567104.0
18,177839076802560.0
19,170339107602432.0
20,164154941898752.0
21,154563894050816.0
22,148779462295552.0
23,141522443960320.0
24,135686799753216.0
25,132346808369152.0
26,129652379090944.0
27,124617838559232.0
28,120583320764416.0
29,118443588190208.0
30,116473380995072.0
31,114775677730816.0
32,112990783275008.0
33,111461984632832.0
34,110079902744576.0
35,107144259043328.0
36,104723818479616.0
37,103341820477440.0
38,102071575511040.0
39,100547659038720.0
40,99062372106240.0
41,97945772883968.0
42,97226273587200.0
43,96409944588288.0
44,95462870745088.0
45,94620704833536.0
46,93867802099712.0
47,93116392538112.0
48,92194585182208.0
49,91281820745728.0
50,90064491118592.0
51,88828169682944.0
52,88081482907648.0
53,87416081743872.0
54,86657835466752.0
55,85955868360704.0
56,85158900269056.0
57,84429728907264.0
58,83501982416896.0
59,82732260524032.0
60,81663467978752.0
61,80815832694784.0
62,80173676363776.0
63,79579544813568.0
64,78710996729856.0
65,77926007570432.0
66,77273801687040.0
67,76706236858368.0
68,76172805275648.0
69,75696206512128.0
70,75159016833024.0
71,74632556183552.0
72,74204586180608.0
73,73838238892032.0
74,73086988713984.0
75,72461089505280.0
76,71927154606080.0
77,71464346714112.0
78,71126571024384.0
79,70732130287616.0
80,70246673154048.0
81,69726499766272.0
82,69338736361472.0
83,69071802466304.0
84,68738678259712.0
85,68372867842048.0
86,68051290554368.0
87,67755734728704.0
88,67409138417664.0
89,67096255922176.0
90,66809755598848.0
91,66552418271232.0
92,66280715452416.0
93,66026238640128.0
94,65706834001920.0
95,65410539978752.0
96,64684912803840.0
97,63765299068928.0
98,63370145300480.0
99,63040007438336.0
100,62624507101184.0
101,62227193266176.0
102,61891841884160.0
103,61607816200192.0
104,61382447857664.0
105,61159663206400.0
106,60849511202816.0
107,60457796763648.0
108,60151084089344.0
109,59885291044864.0
110,59649076232192.0
111,59429433114624.0
112,59175627390976.0
113,58947113320448.0
114,58774752591872.0
115,58576307486720.0
116,58170785398784.0
117,57907546685440.0
118,57719138549760.0
119,57523155501056.0
120,57351193231360.0
121,57114898726912.0
122,56883935182848.0
123,56539792539648.0
124,56234191355904.0
125,55989348859904.0
126,55749061378048.0
127,55571235471360.0
128,55393002717184.0
129,55244377554944.0
130,55094301163520.0
131,54806773235712.0
132,54547007406080.0
133,54359148724224.0
134,54200515952640.0
135,54046366892032.0
136,53909481586688.0
137,53768687190016.0
138,53615435710464.0
139,53476994318336.0
140,53356663930880.0
141,53230771896320.0
142,53099691507712.0
143,52970146234368.0
144,52842047995904.0
145,52680726675456.0
146,52528708321280.0
147,52361850519552.0
148,52221236477952.0
149,51981326483456.0
150,51764980088832.0
151,51643777286144.0
152,51515758739456.0
153,51397353537536.0
154,51254738812928.0
155,51072479526912.0
156,50900383039488.0
157,50758833668096.0
158,50617594675200.0
159,50496249266176.0
160,50368578846720.0
161,50234130432000.0
162,50088579694592.0
163,49950117330944.0
164,49856496271360.0
165,49764435492864.0
166,49660169289728.0
167,49559967367168.0
168,49453826310144.0
169,49339942567936.0
170,49237383446528.0
171,49148606808064.0
172,49044994916352.0
173,48935557136384.0
174,48823569219584.0
175,48728333352960.0
176,48631080026112.0
177,48527665266688.0
178,48388330487808.0
179,48258416115712.0
180,48155609530368.0
181,48043571281920.0
182,47946976460800.0
183,47847017807872.0
184,47753614852096.0
185,47665429610496.0
186,47534177255424.0
187,47385342377984.0
188,47256761794560.0
189,47118186184704.0
190,47009146863616.0
191,46904918409216.0
192,46791621869568.0
193,46663095812096.0
194,46583320150016.0
195,46499245326336.0
196,46427946352640.0
197,46356890648576.0
198,46277962235904.0
199,46187541430272.0
200,46105366626304.0
201,46029294534656.0
202,45959379681280.0
203,45866350018560.0
204,45779611811840.0
205,45709470466048.0
206,45643607310336.0
207,45527144071168.0
208,45403680538624.0
209,45301184331776.0
210,45153406418944.0
211,45025991852032.0
212,44874267099136.0
213,44797033185280.0
214,44706247475200.0
215,44631987322880.0
216,44561929863168.0
217,44492237307904.0
218,44429473742848.0
219,44365850345472.0
220,44299882332160.0
221,44240348381184.0
222,44175521218560.0
223,44108827590656.0
224,44024543051776.0
225,43948600983552.0
226,43886256848896.0
227,43823661056000.0
228,43638218293248.0
229,43451630485504.0
230,43354125500416.0
231,43251897729024.0
232,43188945420288.0
233,43127238819840.0
234,43070292754432.0
235,43003477491712.0
236,42947575808000.0
237,42889262399488.0
238,42830139490304.0
239,42772870463488.0
240,42712799641600.0
241,42649515982848.0
242,42586064551936.0
243,42514664914944.0
244,42444586483712.0
245,42373467865088.0
246,42279712587776.0
247,42178030075904.0
248,42101052014592.0
249,42047843074048.0
250,41992205631488.0
251,41936505274368.0
252,41813750579200.0
253,41718053339136.0
254,41659991588864.0
255,41585433640960.0
256,41508426219520.0
257,41430709960704.0
258,41369213075456.0
259,41309234528256.0
260,41250442969088.0
261,41180922380288.0
262,41126287376384.0
263,41055508496384.0
264,40991574720512.0
265,40934611877888.0
266,40880471801856.0
267,40816433168384.0
268,40764625125376.0
269,40706307522560.0
270,40628989722624.0
271,40544734543872.0
272,40465235705856.0
273,40388094066688.0
274,40318791581696.0
275,40262126534656.0
276,40182959046656.0
277,40095994347520.0
278,40035994828800.0
279,39969695465472.0
280,39914070605824.0
281,39859112640512.0
282,39802502119424.0
283,39742557126656.0
284,39663121203200.0
285,39571643432960.0
286,39513254526976.0
287,39463153565696.0
288,39413295874048.0
289,39363396239360.0
290,39314138333184.0
291,39272375648256.0
292,39229161734144.0
293,39175315259392.0
294,39123813400576.0
295,39052086607872.0
296,38957718962176.0
297,38897279041536.0
298,38842568540160.0
299,38800151543808.0
300,38751975768064.0
301,38700335497216.0
302,38639769747456.0
303,38586892156928.0
304,38530034171904.0
305,38472396046336.0
306,38416708272128.0
307,38365185441792.0
308,38312999911424.0
309,38266598326272.0
310,38223891922944.0
311,38184268333056.0
312,38143759745024.0
313,38084729110528.0
314,38027120345088.0
315,37969398333440.0
316,37913203048448.0
317,37858396078080.0
318,37806751612928.0
319,37724002189312.0
320,37651801440256.0
321,37610466574336.0
322,37570473885696.0
323,37535967346688.0
324,37493864923136.0
325,37453343752192.0
326,37402483621888.0
327,37338927333376.0
328,37285726781440.0
329,37212771057664.0
330,37149353181184.0
331,37113181503488.0
332,37077878046720.0
333,37049839124480.0
334,36997372575744.0
335,36950727720960.0
336,36921715720192.0
337,36888169676800.0
338,36846172110848.0
339,36797107142656.0
340,36765972824064.0
341,36735903858688.0
342,36704421412864.0
343,36674058846208.0
344,36625438474240.0
345,36580303568896.0
346,36538830290944.0
347,36503145152512.0
348,36471742398464.0
349,36436996784128.0
350,36398539210752.0
351,36367287451648.0
352,36331619090432.0
353,36295879426048.0
354,36265105817600.0
355,36233019392000.0
356,36200769388544.0
357,36142887993344.0
358,36085832876032.0
359,36056116232192.0
360,36023446798336.0
361,35990487957504.0
362,35955658457088.0
363,35924180205568.0
364,35891036815360.0
365,35850003939328.0
366,35812280369152.0
367,35783733936128.0
368,35755611127808.0
369,35702255386624.0
370,35646664081408.0
371,35599268446208.0
372,35552267075584.0
373,35521128562688.0
374,35491797794816.0
375,35458646016000.0
376,35427830464512.0
377,35396947804160.0
378,35367495401472.0
379,35334758858752.0
380,35300092936192.0
381,35262465835008.0
382,35220904476672.0
383,35180674809856.0
384,35144475869184.0
385,35093561212928.0
386,35040356466688.0
387,35010553839616.0
388,34976036814848.0
389,34943839240192.0
390,34909250912256.0
391,34874410926080.0
392,34841095569408.0
393,34814608539648.0
394,34785848197120.0
395,34760183250944.0
396,34726754648064.0
397,34698067705856.0
398,34668577554432.0
399,34637023805440.0
400,34605373587456.0
401,34575000535040.0
402,34541462880256.0
403,34513207951360.0
404,34478565097472.0
405,34443706236928.0
406,34408671215616.0
407,34379812306944.0
408,34353140727808.0
409,34330680229888.0
410,34307687055360.0
411,34285713096704.0
412,34262508109824.0
413,34238116134912.0
414,34213701091328.0
415,34188998737920.0
416,34164493516800.0
417,34130318327808.0
418,34097298669568.0
419,34066686541824.0
420,34033148887040.0
421,34006196289536.0
422,33982047584256.0
423,33960463695872.0
424,33937585864704.0
425,33905837080576.0
426,33872091807744.0
427,33846789668864.0
428,33820764012544.0
429,33796533518336.0
430,33773347405824.0
431,33742903050240.0
432,33714102861824.0
433,33680879779840.0
434,33650798231552.0
435,33620915912704.0
436,33590037446656.0
437,33564313780224.0
438,33540269932544.0
439,33508699406336.0
440,33481537093632.0
441,33455817621504.0
442,33430884581376.0
443,33410340880384.0
444,33383346339840.0
445,33354904764416.0
446,33332911931392.0
447,33309430120448.0
448,33286044778496.0
449,33261178847232.0
450,33238370222080.0
451,33213598662656.0
452,33193063350272.0
453,33174344171520.0
454,33143706877952.0
455,33114374012928.0
456,33087943606272.0
457,33062792462336.0
458,33038553579520.0
459,33012121075712.0
460,32989939499008.0
461,32969072836608.0
462,32943770697728.0
463,32921576538112.0
464,32900019912704.0
465,32877079166976.0
466,32850629885952.0
467,32821034876928.0
468,32798815551488.0
469,32775902068736.0
470,32755733757952.0
471,32732929327104.0
472,32709474779136.0
473,32680171274240.0
474,32645410979840.0
475,32607945359360.0
476,32564817428480.0
477,32525093175296.0
478,32502250995712.0
479,32482516795392.0
480,32457013329920.0
481,32435945340928.0
482,32415263227904.0
483,32396128813056.0
484,32373118861312.0
485,32351134416896.0
486,32331869978624.0
487,32308467859456.0
488,32289534771200.0
489,32267621629952.0
490,32246207610880.0
491,32226569879552.0
492,32204535103488.0
493,32183716675584.0
494,32164928290816.0
495,32141060603904.0
496,32114711986176.0
497,32089741197312.0
498,32061427548160.0
499,32031958368256.0
500,32004103995392.0
501,31980171296768.0
502,31962102235136.0
503,31940224745472.0
504,31922170363904.0
505,31898678067200.0
506,31876297261056.0
507,31857882169344.0
508,31837185376256.0
509,31818241802240.0
510,31796297203712.0
511,31774293884928.0
512,31751923564544.0
513,31725992280064.0
514,31697877860352.0
515,31679068504064.0
516,31655200817152.0
517,31634459983872.0
518,31613903699968.0
519,31588744167424.0
520,31563624480768.0
521,31541231091712.0
522,31520341360640.0
523,31503727722496.0
524,31488967966720.0
525,31470030684160.0
526,31450525073408.0
527,31430824427520.0
528,31410951815168.0
529,31388440985600.0
530,31365462491136.0
531,31342890844160.0
532,31320302419968.0
533,31303246282752.0
534,31286162882560.0
535,31264568508416.0
536,31241659219968.0
537,31223051190272.0
538,31204258611200.0
539,31179310891008.0
540,31155040550912.0
541,31139888627712.0
542,31123994312704.0
543,31103066832896.0
544,31082862870528.0
545,31058540101632.0
546,31038898176000.0
547,31022137737216.0
548,31003577942016.0
549,30986689576960.0
550,30971822866432.0
551,30956029214720.0
552,30934745219072.0
553,30914943909888.0
554,30899550814208.0
555,30883079782400.0
556,30863549005824.0
557,30842881572864.0
558,30808133861376.0
559,30775820943360.0
560,30754251735040.0
561,30734448328704.0
562,30717052452864.0
563,30697628631040.0
564,30679528112128.0
565,30663287767040.0
566,30646579757056.0
567,30629267767296.0
568,30610456313856.0
569,30591563071488.0
570,30576423731200.0
571,30559195627520.0
572,30540986056704.0
573,30523908947968.0
574,30509514096640.0
575,30493292625920.0
576,30475399725056.0
577,30460967124992.0
578,30448371630080.0
579,30425263112192.0
580,30404994138112.0
581,30387784908800.0
582,30367755010048.0
583,30352728915968.0
584,30337465843712.0
