iteration,loss
0,10364434513920.0
1,4331535073280.0
2,2470572195840.0
3,1628570910720.0
4,1091639181312.0
5,797447028736.0
6,635501740032.0
7,512558563328.0
8,434186387456.0
9,378157465600.0
10,333960151040.0
11,300238372864.0
12,272360128512.0
13,253625729024.0
14,240466984960.0
15,229454905344.0
16,221197434880.0
17,207256846336.0
18,196400365568.0
19,188164063232.0
20,181801910272.0
21,174918352896.0
22,169509535744.0
23,163997810688.0
24,159283019776.0
25,152291786752.0
26,147503546368.0
27,144470851584.0
28,141703249920.0
29,138566942720.0
30,134865018880.0
31,132229447680.0
32,129321877504.0
33,126416855040.0
34,124342157312.0
35,122055999488.0
36,119324786688.0
37,116950007808.0
38,114845040640.0
39,113323859968.0
40,111773335552.0
41,110265458688.0
42,108927877120.0
43,106479763456.0
44,104298831872.0
45,103170547712.0
46,102106251264.0
47,100702576640.0
48,99517325312.0
49,97107787776.0
50,95367684096.0
51,93665746944.0
52,92307488768.0
53,91434041344.0
54,90504421376.0
55,89595052032.0
56,88774819840.0
57,87797219328.0
58,86867746816.0
59,85846704128.0
60,84883595264.0
61,83723370496.0
62,82654658560.0
63,81747902464.0
64,81007099904.0
65,80151740416.0
66,79321767936.0
67,78539161600.0
68,77870612480.0
69,77389701120.0
70,76862504960.0
71,76380921856.0
72,75820195840.0
73,75347501056.0
74,74921181184.0
75,74330038272.0
76,73822470144.0
77,73315508224.0
78,72718106624.0
79,72258633728.0
80,71895490560.0
81,71597760512.0
82,71253409792.0
83,70879117312.0
84,70501728256.0
85,70113419264.0
86,69754306560.0
87,69394046976.0
88,69078171648.0
89,68699131904.0
90,68172464128.0
91,67789697024.0
92,67480375296.0
93,67188350976.0
94,66903707648.0
95,66598850560.0
96,66209300480.0
97,65751601152.0
98,65512030208.0
99,65295106048.0
