iteration,loss
0,18637691813888.0
1,9278764089344.0
2,6430420107264.0
3,5374359896064.0
4,4729822773248.0
5,4360480489472.0
6,4103100432384.0
7,3952709992448.0
8,3838109024256.0
9,3693624164352.0
10,3606970105856.0
11,3514758856704.0
12,3453055926272.0
13,3407636332544.0
14,3360696303616.0
15,3323268694016.0
16,3298166046720.0
17,3280503046144.0
18,3262174724096.0
19,3249025056768.0
20,3236722376704.0
21,3221975465984.0
22,3210333650944.0
23,3191819993088.0
24,3177275981824.0
25,3164633563136.0
26,3156481409024.0
27,3147912445952.0
28,3140338319360.0
29,3133071949824.0
30,3126584410112.0
31,3118848540672.0
32,3112123498496.0
33,3100571598848.0
34,3087560605696.0
35,3081117892608.0
36,3076589617152.0
37,3072146538496.0
38,3067547222016.0
39,3064215109632.0
40,3060527529984.0
41,3056811900928.0
42,3053587791872.0
43,3050753490944.0
44,3047325433856.0
45,3043788587008.0
46,3040568147968.0
47,3037903192064.0
48,3034988150784.0
49,3031709515776.0
50,3028961722368.0
51,3026600591360.0
52,3024322035712.0
53,3022246379520.0
54,3020172820480.0
55,3018136223744.0
56,3015836958720.0
57,3012911955968.0
58,3010575204352.0
59,3008557219840.0
60,3006379589632.0
61,3004524920832.0
62,3002237452288.0
63,3000429445120.0
64,2997880881152.0
65,2994944081920.0
66,2993200562176.0
67,2991582871552.0
68,2989427261440.0
69,2987556601856.0
70,2985694593024.0
71,2983931674624.0
72,2982287245312.0
73,2980848074752.0
74,2979523723264.0
75,2977713094656.0
76,2976213106688.0
77,2974996758528.0
78,2973709893632.0
79,2972482273280.0
80,2971150581760.0
81,2969587154944.0
82,2968381554688.0
83,2967351590912.0
84,2966386900992.0
85,2965259157504.0
86,2964226572288.0
87,2962636144640.0
88,2961163157504.0
89,2960111435776.0
90,2959036121088.0
91,2958020313088.0
92,2956917211136.0
93,2955694047232.0
94,2954632888320.0
95,2953522708480.0
96,2952631681024.0
97,2951215841280.0
98,2949993725952.0
99,2948933091328.0
